,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cape town,0,ZA,1650897426,57,-33.9258,18.4232,292.19,9.26
1,bahile,71,PH,1650897735,89,9.9995,118.7878,299.31,1.4
2,mataura,9,NZ,1650897430,92,-46.1927,168.8643,282.86,2.14
3,busselton,100,AU,1650897458,90,-33.65,115.3333,290.0,8.15
4,kapaa,75,US,1650897459,84,22.0752,-159.319,295.99,6.17
5,barrow,100,US,1650897385,85,71.2906,-156.7887,260.16,3.09
6,petrozavodsk,100,RU,1650897735,87,61.7849,34.3469,277.85,3.0
7,ipixuna,46,BR,1650897477,60,-1.7625,-48.8043,303.91,1.88
8,punta arenas,75,CL,1650897374,93,-53.15,-70.9167,279.16,7.2
9,trincomalee,11,LK,1650897736,76,8.5711,81.2335,302.19,3.6
10,hilo,100,US,1650897434,96,19.7297,-155.09,295.53,1.54
11,whitehorse,75,CA,1650897651,82,60.7161,-135.0538,274.32,1.54
12,harlingen,75,US,1650897737,82,26.1906,-97.6961,301.13,8.23
13,rikitea,100,PF,1650897441,79,-23.1203,-134.9692,296.68,5.31
14,arraial do cabo,40,BR,1650897466,61,-22.9661,-42.0278,300.13,4.12
15,atuona,38,PF,1650897438,68,-9.8,-139.0333,299.29,7.5
16,saint-philippe,35,RE,1650897468,84,-21.3585,55.7679,298.27,6.45
17,lompoc,0,US,1650897434,93,34.6391,-120.4579,294.7,2.06
18,saldanha,0,ZA,1650897482,68,-33.0117,17.9442,293.18,7.68
19,bamut,4,RU,1650897738,61,43.1599,45.1973,298.12,2.14
20,micheweni,100,TZ,1650897738,75,-4.9667,39.8333,301.23,3.07
21,qaanaaq,97,GL,1650897432,67,77.484,-69.3632,260.42,2.59
22,sao felix do xingu,10,BR,1650897739,56,-6.6447,-51.995,303.68,2.55
23,chapais,100,CA,1650897739,96,49.7834,-74.8492,276.03,5.58
24,bredasdorp,20,ZA,1650897361,50,-34.5322,20.0403,290.76,4.64
25,east london,0,ZA,1650897431,63,-33.0153,27.9116,292.67,8.23
26,george town,20,MY,1650897740,93,5.4112,100.3354,302.11,2.68
27,port alfred,52,ZA,1650897454,76,-33.5906,26.891,291.58,1.34
28,albany,100,US,1650897500,37,42.6001,-73.9662,288.17,1.79
29,lotofaga,87,WS,1650897740,73,-13.9764,-171.8578,296.03,5.49
30,hobart,100,AU,1650897448,88,-42.8794,147.3294,286.07,2.57
31,eatonton,0,US,1650897598,77,33.3268,-83.3885,297.71,2.68
32,nkhata bay,78,MW,1650897741,72,-11.6066,34.2907,299.1,2.33
33,castro,0,BR,1650897279,57,-24.7911,-50.0119,296.01,2.51
34,jamestown,0,US,1650897384,42,42.097,-79.2353,297.33,5.14
35,ushuaia,100,AR,1650897436,76,-54.8,-68.3,276.94,1.42
36,catia la mar,75,VE,1650897742,69,10.6038,-67.0303,305.36,3.09
37,portland,100,US,1650897358,92,45.5234,-122.6762,285.17,3.6
38,ituporanga,50,BR,1650897742,56,-27.4144,-49.6025,297.34,1.97
39,mahebourg,75,MU,1650897445,69,-20.4081,57.7,298.31,5.66
40,nouakchott,22,MR,1650897743,57,18.0858,-15.9785,303.11,8.91
41,sabha,98,LY,1650897743,7,27.0377,14.4283,308.02,6.06
42,clyde river,100,CA,1650897515,85,70.4692,-68.5914,260.28,11.83
43,chokurdakh,100,RU,1650897488,91,70.6333,147.9167,259.61,2.81
44,kavaratti,21,IN,1650897513,71,10.5669,72.642,302.9,2.35
45,yellowknife,20,CA,1650897744,63,62.456,-114.3525,270.44,6.17
46,galle,100,LK,1650897744,80,6.0367,80.217,300.75,1.72
47,dikson,100,RU,1650897189,95,73.5069,80.5464,262.63,3.14
48,tasiilaq,100,GL,1650897478,94,65.6145,-37.6368,276.24,4.26
49,stornoway,75,GB,1650897745,78,58.2093,-6.3865,283.11,5.66
50,san patricio,16,US,1650897434,66,28.017,-97.5169,300.47,6.9
51,victoria,5,HK,1650897485,82,22.2855,114.1577,301.18,3.58
52,bengkulu,100,ID,1650897504,90,-3.8004,102.2655,298.24,2.77
53,orebro,0,SE,1650897745,18,59.2741,15.2066,291.62,1.54
54,puerto ayora,93,EC,1650897450,83,-0.7393,-90.3518,296.13,3.56
55,manono,84,CD,1650897746,82,-7.3,27.4167,298.63,1.79
56,le port,9,RE,1650897746,75,-20.9373,55.2919,298.49,1.76
57,cherskiy,100,RU,1650897449,85,68.75,161.3,263.6,1.93
58,mwene-ditu,29,CD,1650897746,81,-7.0,23.45,298.01,1.41
59,muscatine,100,US,1650897584,64,41.4667,-91.1335,280.32,7.72
60,chalmette,0,US,1650897747,72,29.9427,-89.9634,301.48,3.09
61,bathsheba,75,BB,1650897747,94,13.2167,-59.5167,298.49,8.23
62,cockburn town,40,TC,1650897523,61,21.4612,-71.1419,300.13,5.14
63,kaitangata,2,NZ,1650897498,74,-46.2817,169.8464,280.92,5.25
64,vaini,100,TO,1650897459,100,-21.2,-175.2,295.24,3.09
65,khatanga,13,RU,1650897459,100,71.9667,102.5,253.53,0.86
66,severo-kurilsk,100,RU,1650897447,97,50.6789,156.125,272.95,7.58
67,pangnirtung,100,CA,1650897748,86,66.1451,-65.7125,268.15,9.77
68,bogdanovich,26,RU,1650897748,62,56.7803,62.0494,282.56,3.33
69,nouadhibou,0,MR,1650897469,60,20.931,-17.0347,296.14,7.72
70,shingu,96,JP,1650897749,93,33.7333,135.9833,290.69,1.16
71,moron,31,AR,1650897749,55,-34.6534,-58.6198,296.49,5.11
72,vilhena,40,BR,1650897749,69,-12.7406,-60.1458,301.27,6.17
73,ponta do sol,81,PT,1650897456,80,32.6667,-17.1,294.33,4.6
74,lebu,100,CL,1650897460,71,-37.6167,-73.65,285.86,8.07
75,staryy nadym,28,RU,1650897750,87,65.6118,72.6842,264.99,2.49
76,meadow lake,0,US,1650897750,31,34.8014,-106.5436,284.59,2.67
77,ancud,100,CL,1650897442,91,-41.8697,-73.8203,283.28,12.32
78,souillac,75,MU,1650897502,69,-20.5167,57.5167,298.36,5.66
79,veraval,0,IN,1650897751,55,20.9,70.3667,302.65,7.15
80,redmond,100,US,1650897751,88,47.674,-122.1215,284.21,1.34
81,aneho,35,TG,1650897751,65,6.2333,1.6,305.26,4.78
82,kabanjahe,100,ID,1650897752,95,3.1001,98.4908,291.26,1.44
83,faanui,60,PF,1650897480,74,-16.4833,-151.75,299.75,1.06
84,avarua,76,CK,1650897453,100,-21.2078,-159.775,295.18,1.03
85,laguna,0,US,1650897517,76,38.421,-121.4238,289.86,2.57
86,port blair,20,IN,1650897752,74,11.6667,92.75,302.17,0.51
87,pisco,100,PE,1650897502,88,-13.7,-76.2167,293.16,3.09
88,ejido,100,VE,1650897753,65,8.5514,-71.2375,299.2,2.07
89,ferrol,26,ES,1650897753,73,43.4832,-8.2369,292.24,4.64
90,sabang,100,ID,1650897753,74,5.8933,95.3214,302.29,4.65
91,tuatapere,17,NZ,1650897495,83,-46.1333,167.6833,280.13,3.25
92,tuktoyaktuk,100,CA,1650897440,91,69.4541,-133.0374,272.51,1.87
93,oyem,100,GA,1650897754,65,1.5995,11.5793,301.12,1.24
94,ardalstangen,100,NO,1650897754,94,61.2371,7.6983,287.42,1.0
95,klaksvik,88,FO,1650897446,83,62.2266,-6.589,280.66,8.64
96,yeppoon,100,AU,1650897544,82,-23.1333,150.7333,293.03,9.15
97,samos,0,GR,1650897755,71,37.7572,26.9769,295.05,2.06
98,lorengau,95,PG,1650897495,81,-2.0226,147.2712,300.08,3.18
99,bubaque,19,GW,1650897452,67,11.2833,-15.8333,299.15,6.05
